city,country,description
Delhi,India,"Steeped in history yet overflowing with modern life, colorful, cacophonous Delhi pulsates with the relentless rhythms of humanity like few other cities on Earth.
Old Delhi Mayhem
Honk-honk-beeeep! Welcome to Old Delhi. Love or hate it, it's impossible to ignore. Whether you make it your base, or just dip into it for shopping sprees or to see the Red Fort, you'll be hard pushed to ever forget your time in this wonderfully chaotic, and fabulously photogenic corner of the city. You'll be sharing its hectic streets and alleys with carts and cycle-rickshaws, with cows and monkeys, with shoppers and with beggars, with street-food sellers and market traders, and with cars, vans, scooters and autorickshaws; watch your back – honk-honk-beeeep!
A Fabulous Feast
As the capital city of one of the most delicious countries on Earth, Delhi tantalizes your taste buds with its thali-like fusion of flavors from every corner of the subcontinent: Breakfast on South Indian idly; lunch on Punjabi kulchas; then, come evening, dine on rich Mughlai curries. But don't forget to leave room for some Dilli-ka-Chaat, Delhi's famously delicious street-food snacks; try sizzling kebabs for starters, then munch on aloo tikki (spiced potato patties) before getting your fingers sticky on jalebi (orange-coloured coils of deep-fried batter dunked in sugar syrup) or savoring some sumptuously creamy cardamon kheer (rice pudding).
The Great Indian Bazaar
All the riches of India twinkle in Delhi's emporiums, so if you're regretting not buying that handmade kathputli (puppet) you saw in Rajasthan or that Madhubani painting you loved in Bihar, fear not; chances are you'll be able to find one here too. New Delhi's emporiums are multi-floor, gift-filled markets that are perfect for a last-minute souvenir binge before you fly home. Old Delhi's famously frenetic street bazaars, meanwhile, contain a mind-boggling array of clothes, slippers, shawls, handicrafts, food, electronics and more – even if you're not buying anything, they're a joy to visit (and photograph).
Eight Cities in One
Delhi is a city built upon cities. There are at least eight historical Delhis, each constructed on, or near, the ruins of its predecessor, leaving a modern-day citadel that's dotted with ancient monuments, many said to be haunted by djinns (spirits). Love history and you'll be left salivating as you trace your way through the eras, clambering across the ruined forts of Tughlaqabad, Siri, Purana Qila and Shajahanabad; exploring the magnificent tombs of eminent historical figures; and visiting the still-vibrant temples, mosques and shrines that throng with devotees today, as they have done for hundreds of years."
Dresden,Germany,"There are few city silhouettes more striking than Dresden’s. The classic view from the Elbe’s northern bank takes in spires, towers and domes belonging to palaces, churches and stately buildings, and indeed it's hard to believe that the city was all but wiped off the map by Allied bombings in 1945.Dresden's cultural heyday came during the 18th-century reigns of Augustus the Strong (August der Starke) and his son Augustus III, who sponsored many of Dresden’s iconic buildings, including the Zwinger and the Frauenkirche. While the devastating 1945 Allied firestorm levelled most of these treasures, their contents were safely removed before the bombings and now take pride of place in Dresden's rebuilt museums.Across the river from this treasure trove of classic art and architecture, Dresden's Neustadt has dozens of funky restaurants, shops and one of the liveliest nightlife scenes in Germany's east."
Dublin,Ireland,"A small capital with a huge reputation, Dublin has a mix of heritage and hedonism that will not disappoint. All you have to do is show up.
Layers of History
Dublin has been in the news since the 9th century, and while traces of its Viking past have been largely washed away, the city is a living museum of its history since then, with medieval castles and cathedrals on display alongside the architectural splendours of its 18th-century heyday, when Dublin was the most handsome Georgian city of the British Empire and a fine reflection of the aspirations of its most privileged citizens. How power was wrested from their hands is another story, and you'll learn that one in its museums and on its walking tours.
Personality Goes A Long Way
Dubliners will admit theirs isn't the prettiest city, but will remind you that pretty things are as easy to like as they are to forget…before showing you the showstopper Georgian bits to prove that Dublin has a fine line in sophisticated elegance. True love is demonstrated with brutal unsentimentality round here, but they'll go soft at the knees when talking about the character and personality of the 'greatest city in the world, if you ignore all the others'. Garrulous, amiable and witty, Dubliners at their ease are the greatest hosts of all, a charismatic bunch with compelling soul and sociability.
A Few Scoops
Even in these times of green juices and heart-monitoring apps, the pub remains the alpha and omega of social interaction in Dublin. The city's relationship with alcohol is complex and conflicted but, at its very best, a night out in the pub is the perfect social lubricant and one of the highlights of a visit to Dublin. Every Dubliner has their favourite haunt, from the never-changing traditional pub to whatever new opening is bringing in the beautiful people. With more than 1000 of them spread about the city, you'll be spoilt for choice.
All the World is Dublin
For as long as it's been around, Dublin has looked beyond Irish shores for inspiration. Once the second city of the (British) Empire, Dublin has always maintained a pretty cosmopolitan outlook and in the last three decades has conspicuously embraced diversity and multiculturalism. You'll hear languages and eat foods from all four corners of the globe, and while it used to be said that ‘real’ Dubs had to be born within the canals like their parents and grandparents before them, these days you’re just as likely to meet a Dub whose parents were born in Warsaw, Lagos, Cairo or Beijing."
Dubrovnik,Croatia,"Regardless of whether you are visiting Dubrovnik for the first time or the hundredth, the sense of awe never fails to descend when you set eyes on the beauty of the old town. Indeed it’s hard to imagine anyone becoming jaded by the city’s limestone streets, baroque buildings and the endless shimmer of the Adriatic, or failing to be inspired by a walk along the ancient city walls that protected the capital of a sophisticated republic for centuries.Although the shelling of Dubrovnik in 1991 horrified the world, the city has bounced back with vigour to enchant visitors again. Marvel at the interplay of light on the old stone buildings; trace the peaks and troughs of Dubrovnik's past in museums replete with art and artefacts; take the cable car up to Mt Srđ; exhaust yourself climbing up and down narrow lanes – then plunge into the azure sea."
Dusseldorf,Germany,"Düsseldorf impresses with boundary-pushing architecture, zinging nightlife and an art scene to rival many higher-profile cities. It’s a posh and modern city that seems all buttoned-up business at first glance: banking, advertising, fashion and telecommunications are among the fields that have made North Rhine–Westphalia's capital one of Germany’s wealthiest cities. Yet all it takes is a few hours of bar-hopping around the Altstadt (the historical quarter along the Rhine) to realise that locals have no problem letting their hair down once they shed those Armani jackets.The Altstadt claims fame as the ‘longest bar in the world’ but some focus has moved to Medienhafen, a redeveloped harbour area home to international avant-garde architecture. Older neighbourhoods are also evolving, including the now-hip Flingern and the vibrantly creative Unterbilk, especially along Lorettostrasse. And the new underground Wehrhahn line's six stations are an eye-catching blend of architecture, design and art."
Florence,Italy,"Cradle of the Renaissance, romantic, enchanting and utterly irresistible, Florence (Firenze) is a place to feast on world-class art and gourmet Tuscan cuisine.
Art & Architecture
Few cities are so compact in size or so packed with extraordinary art and architecture masterpieces at every turn. The urban fabric of this small city, on the banks of the Arno river in northeastern Tuscany, has hardly changed since the Renaissance and its narrow cobbled streets are a cinematic feast of elegant 15th- and 16th-century palazzi (palaces), medieval candle-lit chapels, fresco-decorated churches, marble basilicas and world-class art museums brimming with paintings and sculptures by Botticcelli, Michelangelo et al. Unsurprisingly, the entire city centre is a Unesco World Heritage Site.
Boutique Shopping
Italy's fashion industry was born and bred here. Homegrown designers Guccio Gucci and Salvatore Ferragamo opened haute-couture boutiques in Florence in the 1920s and shopping in the Tuscan capital has been stylish ever since. A-lister fashion houses lace Via de' Tornabuoni and a Pandora's box of specialist boutiques selling all manner of beautiful objects parade alongside family-run botteghe (workshops) in a glorious tangle of medieval backstreets. Watch fourth-generation Florentine goldsmiths and shoemakers at work, buy artisan scents evocative of the Florentine countryside and Tuscan sea breeze, and know the tag 'Fiorentina' is one of the finest international labels going.
Food & Wine
Quality produce sourced locally, seasonally and sustainably is the holy trinity and Florentines share an enormous pride in their culinary tradition. Their city, surrounded by wine-rich hills, is a gourmet paradise where eating and drinking exceedingly well is mandatory. Be it a traditional bowl of earthy ribollita (bean, bread and veg soup), a tripe panino at a family-run food truck or a blue T-bone steak served in a market trattoria unchanged since 1915, dining in Florence is timeless and memorable. Raw cuisine, fish bistros, craft cocktails and the dazzling creativity of modern young Tuscan chefs add contemporary edge.
La Dolce Vita
Stand on a bridge over the Arno several times in a day and the light and mood changes every time. At sunset hike to Piazzale Michelangelo to be dazzled by a palette embracing every known shade of soft pink, orange and fiery amber. Surprisingly small as it is, Florence looms large on the world's 'must-sees' list – and not just for its unmatched treasure chest of art. Rich in culture, backdropped by history and anchored by family, faith and food, the Florentine lifestyle is enviably sweet. Enjoy a go-slow afternoon passeggiata, indulge in an aperitivo at dusk, savour la dolce vita…
Why I love Florence
By Nicola Williams, Writer
Florence is made for walking, which suits me perfectly, but what never ceases to amaze me is its overwhelming beauty. It's impossible not to be completely and utterly seduced by the sheer size and grandeur of Brunelleschi's red cathedral dome on Piazza del Duomo; by the sensual beauty of a stash of lesser-known Michelangelo sculptures that no one really talks about (forget David – Dawn and Dusk sends shivers down my spine); by the hopelessly romantic city light that turns the Arno and its bridges into a portfolio of Turner canvases during my early-morning runs. Swoon."
Frankfurt,Germany,"In this enchanting corner of Germany, the finer things in life take pride of place: good food, great wine, glorious walking and cycling, and exceptional art everywhere, from magnificent museums to quirky street sculptures.Vineyards ribbon the steep-sided Romantic Rhine and Moselle valleys, as well as the wisteria-draped German Wine Route, the country's warmest region. All three areas are strewn with hilltop castles, dark forests and scores of snug wineries for sampling exquisite crisp whites.History abounds here, from the preserved Roman amphitheatre and thermae in Germany's oldest city, Trier; to crooked half-timbered medieval villages; spectacular palaces; centres of learning like the ancient university city of Heidelberg, Goethe's birthplace – the finance and trade-fair hub of Frankfurt; and momentous industrial and engineering legacies – including the invention of the printing press in Mainz, and the bicycle and automobile in Mannheim: that continue to influence the world today."
Geneva,Switzerland,"Like the swans that frolic on its eponymous Alpine lake (Europe's largest), Geneva (Genève) is a rare bird. Constantly perceived as the Swiss capital (it isn't), Switzerland's second-largest city is slick and cosmopolitan, and its people chatter in almost every language among streets paved by gold.The headquarters of the World Trade Organization, World Health Organization, International Committee of the Red Cross, the second-largest branches of the United Nations and World Bank (among some 200-odd international organisations, including not-for-profits) are here, along with the overload of luxury hotels, boutiques, jewellers, restaurants and chocolatiers accompanying them.Beneath this flawless exterior, lies a fascinating rough-cut diamond, peopled by artists and activists educated in international schools, drifters and denizens. Geneva's counterculture dwells in Les Grottes, the Quartier des Pâquis and along the post-industrial Rhône where neighbourhood bars hum with attitude and energy. This is the Geneva of the 'real' Genevois…or as close as you'll get to it."
Guangzhou,China,"Guǎngzhōu (广州), once better known internationally as Canton, has been China's busiest trading centre for centuries. Despite breakneck redevelopment up to and after the 2010 Asian Games, much of the metropolis still hums along at a pleasantly sedate pace, where narrow, leafy streets conceal temples and mosques, pockets of colonial-era heritage, traditional dim-sum eateries, distinctive qílóu shophouses and Lǐngnán architecture. Equally, you can embrace modernity via the 21st-century architectural landmarks of the showpiece Zhūjiāng New Town, such as the late Zaha Hadid's Opera House and the slim-waisted Canton Tower, rising up over the Pearl River, which cuts a lazy swathe through the city."
Hamburg,Germany,"When all's said and done, Hamburg's appeal can be narrowed down to one simple calling card: Welcome to one of the coolest cities on earth.Port City VibeHamburg's historic label, ‘The gateway to the world’, might be a bold claim, but Germany’s second-largest city and biggest port has never been shy. A leading light in the Hanseatic League in the Middle Ages, Hamburg became a centre of international trade, a legacy that continues today: it remains one of Germany's wealthiest cities and Hamburg’s maritime spirit still infuses the entire city. It's the sort of city where echoes of the city's port and history are everywhere, from the incessant cry of gulls overhead to the vibrant neighbourhoods awash with multicultural eateries, seaward-facing architecture and the gloriously seedy Reeperbahn red-light district.A Musical CityThere was one consolation for locals when the city's authorities decided to blow the municipal budget: at least it was done for a new concert hall, the Elbphilharmonie. Hamburg's musical pedigree is staggering: Gustav Mahler once directed the city's 330-year-old state opera, while both Johannes Brahms and Felix Mendelssohn were born here. But it's not just about classical music. Hamburg also has very modern and rather raucous melodic soundtrack, not mention a compelling story. The city nurtured the early promise of the Beatles, and music festivals litter the calendar, while the dynamic live music scene just keeps getting better.Icons of ArchitectureThe Elbphilharmonie is an extraordinary structure, dominating the skyline and capturing in glass and brick the essence of Hamburg's polyglot soul. This striking icon of the city has elevated architecture to the centre of public debate and awareness, and it's just the most famous of a rather exciting collection. Office towers that appear as if they are dancing and buildings that from afar look like ocean liners share the streets with half-timbered relics of the medieval city. And only in Hamburg would they think of preserving a former WWII bunker and turning it into a nightclub.The Good Things in LifeThe good people of Hamburg really know how to live. For a start, they've mastered the ingredients of culinary diversity: elevate your local specialties to the level of an obsession and treasure them, even as you remain open to all manner of gastronomic trends. The result is culinary excellence on multiple fronts. So, too, for nightlife: Hamburg is full to bursting with classy cocktail bars, dance-all-night clubs and neighbourhood bars and pubs that both reflect each neighbourhood's identity and define it. So successful are they that it's almost impossible to come to Hamburg and not have a really good time."
Innsbruck,Austria,"Tyrol’s capital is a sight to behold. The jagged rock spires of the Nordkette range are so close that within minutes it’s possible to travel from the city's heart to more than 2000m above sea level and alpine pastures where cowbells chime. Summer and winter activities abound, and it’s understandable why some visitors only take a peek at Innsbruck proper before heading for the hills. But to do so is a shame, for Innsbruck is in many ways Austria in microcosm: its late-medieval Altstadt is picture-book stuff, presided over by a grand Habsburg palace and baroque cathedral, while its Olympic ski jump with big mountain views makes a spectacular leap between the urban and the outdoors."
Istanbul,Turkey,"This magical meeting place of East and West has more top-drawer attractions than it has minarets (and that's a lot).Living Historyİstanbul's strategic location has attracted many marauding armies over the centuries. The Greeks, Romans and Venetians took turns ruling before the Ottomans stormed into town and decided to stay – physical reminders of their various tenures are found across the city. The fact that the city straddles two continents wasn't its only drawcard – it was the final stage on the legendary Silk Road linking Asia with Europe, and many merchants who came here liked it so much that they, too, decided to stay. In so doing, they gave the city a cultural diversity that it retains to this day.Art & ArchitectureThe conquering armies of ancient times tended to ransack the city rather than endow it with artistic treasures, but all that changed with the Byzantines, who adorned their churches and palaces with mosaics and frescoes. Miraculously, many of these remain. Their successors, the Ottomans, were quick to launch an ambitious building program and the magnificently decorated imperial mosques that resulted are architectural triumphs that together form one of the world's great skylines. In recent years, local banks and business dynasties have reprised the Ottomans' grand ambitions and endowed an impressive array of galleries, museums and festivals for all to enjoy.Culinary Heritage'But what about the food?' we hear you say. We're happy to report that the city's cuisine is as diverse as its heritage, and delicious to boot. Locals take their eating and drinking seriously – the restaurants here are the best in the country. You can eat aromatic Asian dishes or Italian classics if you so choose, but most visitors prefer to sample the succulent kebaps, flavoursome mezes and freshly caught fish that are the city's signature dishes, washing them down with the national drink, rakı (aniseed brandy), or a glass or two of locally produced wine.Local LifeSome ancient cities are the sum of their monuments, but İstanbul factors a lot more into the equation. Chief among its manifold attractions are the locals, who have an infectious love of life and generosity of spirit. This vibrant, inclusive and expanding community is full of people who work and party hard, treasure family and friendships, and have no problem melding tradition and modernity in their everyday lives. Joining them in their favourite haunts – çay bahçesis (tea gardens), kahvehans (coffeehouses), meyhanes (Turkish taverns) and kebapçıs (kebap restaurants) – will be a highlight of your visit."
